acquisition,roi,area_nm2
ExampleAcq_folder,1,223.802652143312
ExampleAcq_folder,1,184.829856330612
ExampleAcq_folder,1,170.803236419132
ExampleAcq_folder,1,154.676031590771
ExampleAcq_folder,1,138.527369216411
ExampleAcq_folder,1,133.103228690634
ExampleAcq_folder,1,131.200451970371
ExampleAcq_folder,1,126.12961338831
ExampleAcq_folder,1,116.244528962796
ExampleAcq_folder,1,109.226632276135
ExampleAcq_folder,1,104.121879312009
ExampleAcq_folder,1,98.3517659731862
ExampleAcq_folder,1,97.0949006195705
ExampleAcq_folder,1,93.3439501338231
ExampleAcq_folder,1,91.7542857862259
ExampleAcq_folder,1,86.2440905081087
ExampleAcq_folder,1,81.9860829612754
ExampleAcq_folder,1,73.04707518518
ExampleAcq_folder,1,65.8418010285403
ExampleAcq_folder,1,59.8284455371281
ExampleAcq_folder,1,54.1849859829653
ExampleAcq_folder,1,53.4635647072985
ExampleAcq_folder,1,50.8643068742096
ExampleAcq_folder,1,44.6763849956401
ExampleAcq_folder,1,43.0613535696872
ExampleAcq_folder,1,36.6290019438792
ExampleAcq_folder,1,34.3413205285212
ExampleAcq_folder,1,34.2313406089314
ExampleAcq_folder,1,29.3586513111248
ExampleAcq_folder,1,29.2627205056671
ExampleAcq_folder,1,28.5168867425288
ExampleAcq_folder,1,25.5820613580714
ExampleAcq_folder,1,23.384184101421
ExampleAcq_folder,1,22.3275258822848
ExampleAcq_folder,1,20.4861501266132
ExampleAcq_folder,1,19.4503172652297
ExampleAcq_folder,1,12.6604088977232
ExampleAcq_folder,1,5.99569203587064
ExampleAcq_folder,1,3.68963823913204
ExampleAcq_folder,1,2.97432476022429
ExampleAcq_folder,1,2.11831420124207
ExampleAcq_folder,2,10265.5408401371
ExampleAcq_folder,2,6822.93919450106
ExampleAcq_folder,2,4518.50141341165
ExampleAcq_folder,2,4334.68732861791
ExampleAcq_folder,2,4314.35423983625
ExampleAcq_folder,2,1995.81117827768
ExampleAcq_folder,2,1636.10307358542
ExampleAcq_folder,2,1031.77899234944
ExampleAcq_folder,2,835.652951265587
ExampleAcq_folder,2,474.966425861071
ExampleAcq_folder,2,452.553819370273
ExampleAcq_folder,2,438.683999232319
ExampleAcq_folder,2,413.902358760416
ExampleAcq_folder,2,254.626876551611
ExampleAcq_folder,2,235.047347475869
ExampleAcq_folder,2,223.802652143312
ExampleAcq_folder,2,203.652506574383
ExampleAcq_folder,2,189.078459682575
ExampleAcq_folder,2,184.829856330612
ExampleAcq_folder,2,170.803236419132
ExampleAcq_folder,2,161.3317674277
ExampleAcq_folder,2,158.340029337977
ExampleAcq_folder,2,154.676031590771
ExampleAcq_folder,2,148.52937821133
ExampleAcq_folder,2,143.6307492079
ExampleAcq_folder,2,138.527369216411
ExampleAcq_folder,2,133.834855621022
ExampleAcq_folder,2,133.103228690634
ExampleAcq_folder,2,131.200451970371
ExampleAcq_folder,2,126.12961338831
ExampleAcq_folder,2,126.020567934857
ExampleAcq_folder,2,116.244528962796
ExampleAcq_folder,2,114.14556821051
ExampleAcq_folder,2,110.572908697944
ExampleAcq_folder,2,109.226632276135
ExampleAcq_folder,2,104.812113670265
ExampleAcq_folder,2,104.1882187611
ExampleAcq_folder,2,104.121879312009
ExampleAcq_folder,2,103.708905564691
ExampleAcq_folder,2,102.773499941562
ExampleAcq_folder,2,98.3517659731862
ExampleAcq_folder,2,97.0949006195705
ExampleAcq_folder,2,96.7297856194242
ExampleAcq_folder,2,94.0072636637705
ExampleAcq_folder,2,93.3439501338231
ExampleAcq_folder,2,91.7542857862259
ExampleAcq_folder,2,87.0868765438784
ExampleAcq_folder,2,86.2440905081087
ExampleAcq_folder,2,83.3723414899547
ExampleAcq_folder,2,82.7035946205022
ExampleAcq_folder,2,81.9860829612754
ExampleAcq_folder,2,76.2269496955431
ExampleAcq_folder,2,76.0915509023574
ExampleAcq_folder,2,73.04707518518
ExampleAcq_folder,2,70.5806903692439
ExampleAcq_folder,2,68.130066791503
ExampleAcq_folder,2,67.7033558964955
ExampleAcq_folder,2,65.8418010285403
ExampleAcq_folder,2,60.4795126384578
ExampleAcq_folder,2,59.8284455371281
ExampleAcq_folder,2,58.1519835210066
ExampleAcq_folder,2,57.0110574756262
ExampleAcq_folder,2,54.1849859829653
ExampleAcq_folder,2,53.4635647072985
ExampleAcq_folder,2,52.1558030852021
ExampleAcq_folder,2,50.8643068742096
ExampleAcq_folder,2,49.37915494583
ExampleAcq_folder,2,46.232962364535
ExampleAcq_folder,2,45.7046002353447
ExampleAcq_folder,2,45.1136202088768
ExampleAcq_folder,2,44.6763849956401
ExampleAcq_folder,2,44.5597939675854
ExampleAcq_folder,2,43.0613535696872
ExampleAcq_folder,2,42.9290162437518
ExampleAcq_folder,2,40.0238636638752
ExampleAcq_folder,2,38.418066646044
ExampleAcq_folder,2,36.6290019438792
ExampleAcq_folder,2,36.447129543554
ExampleAcq_folder,2,35.4918122605742
ExampleAcq_folder,2,35.4608997199873
ExampleAcq_folder,2,34.3413205285212
ExampleAcq_folder,2,34.2313406089314
ExampleAcq_folder,2,32.404198365151
ExampleAcq_folder,2,30.1163482703689
ExampleAcq_folder,2,29.7795646193503
ExampleAcq_folder,2,29.3586513111248
ExampleAcq_folder,2,29.2627205056671
ExampleAcq_folder,2,28.8708138194756
ExampleAcq_folder,2,28.8165335200721
ExampleAcq_folder,2,28.5168867425288
ExampleAcq_folder,2,28.0357892995367
ExampleAcq_folder,2,27.7809091774469
ExampleAcq_folder,2,27.3926073784121
ExampleAcq_folder,2,26.2560204788799
ExampleAcq_folder,2,25.5820613580714
ExampleAcq_folder,2,24.8894782950237
ExampleAcq_folder,2,24.8861314792911
ExampleAcq_folder,2,24.4935574338383
ExampleAcq_folder,2,24.3883534851741
ExampleAcq_folder,2,23.6162744437762
ExampleAcq_folder,2,23.384184101421
ExampleAcq_folder,2,23.2686616868518
ExampleAcq_folder,2,22.9662591113211
ExampleAcq_folder,2,22.9640381163832
ExampleAcq_folder,2,22.3275258822848
ExampleAcq_folder,2,22.1692938154293
ExampleAcq_folder,2,21.6387291091033
ExampleAcq_folder,2,20.5403539889781
ExampleAcq_folder,2,20.4861501266132
ExampleAcq_folder,2,19.8557680779003
ExampleAcq_folder,2,19.4503172652297
ExampleAcq_folder,2,19.3127818101286
ExampleAcq_folder,2,15.0106007206688
ExampleAcq_folder,2,13.1791099816326
ExampleAcq_folder,2,12.6604088977232
ExampleAcq_folder,2,11.5472505417978
ExampleAcq_folder,2,11.3362444422821
ExampleAcq_folder,2,10.8099418973207
ExampleAcq_folder,2,8.68676268262342
ExampleAcq_folder,2,8.04036872583542
