acquisition,ROI,num_locs,area,PSD_hdr_overlap,PSD_overlap
ExampleAcq_folder,1,1000,33482.2178622437,0,0.435687505757836
ExampleAcq_folder,1,780,31738.9422976593,0,0.794252261549318
ExampleAcq_folder,1,399,17732.5889523,0,0.192020102601093
ExampleAcq_folder,1,316,11650.0516389526,0,0.999999999999999
ExampleAcq_folder,1,231,10850.4420873884,0,0.926795147226972
ExampleAcq_folder,1,227,9622.34413722937,0,0
ExampleAcq_folder,1,138,6078.175866461,0,0
ExampleAcq_folder,1,119,4834.1010144792,0,0
ExampleAcq_folder,1,125,4392.97729973522,0,0
ExampleAcq_folder,1,44,1411.72937045127,0,0
ExampleAcq_folder,1,17,683.952685131604,0,1
ExampleAcq_folder,1,7,262.236715598289,0,0
ExampleAcq_folder,1,6,248.052460536882,0,0
ExampleAcq_folder,1,8,224.009651446953,0,0
ExampleAcq_folder,1,6,136.750176227115,0,0
ExampleAcq_folder,1,8,79.4791362380304,0,1
ExampleAcq_folder,2,852,37548.654044341,0,0.895868308669109
ExampleAcq_folder,2,1057,37333.0634094943,0,0.993574480139554
ExampleAcq_folder,2,439,20822.4463953316,0,0.235648521786959
ExampleAcq_folder,2,367,15780.9071335188,0,0.972716078284174
ExampleAcq_folder,2,274,13929.3319847358,0,0.961920657124966
ExampleAcq_folder,2,272,13286.1933393343,0,0.940215756669898
ExampleAcq_folder,2,158,7265.71061127971,0,0
ExampleAcq_folder,2,142,6407.16133031096,0,0.926043454829194
ExampleAcq_folder,2,143,5727.08653581356,0,0.809445659401202
ExampleAcq_folder,2,43,2162.36175997288,0,0
ExampleAcq_folder,2,32,1413.62544401035,0,1
ExampleAcq_folder,2,32,921.992091885174,0,0
ExampleAcq_folder,2,17,625.629243304986,0,0
ExampleAcq_folder,2,19,529.694754655237,0,1
ExampleAcq_folder,2,15,223.581205570375,0,1
ExampleAcq_folder,2,4,6.04578133716416,0,0
ExampleAcq_folder,3,78,4663.41013256773,0,0
ExampleAcq_folder,3,85,4240.11077142028,0,0
ExampleAcq_folder,3,73,3557.20520827972,0.0554377157583206,1
ExampleAcq_folder,3,84,3228.51906220094,0,0.164556480149709
ExampleAcq_folder,3,44,2104.11984154719,0,1
ExampleAcq_folder,3,40,2104.10086210865,0.0384157545937051,0.9715952472646
ExampleAcq_folder,3,28,1475.99911539018,0,0
ExampleAcq_folder,3,27,1043.97656233481,0,0.888569044121783
ExampleAcq_folder,3,27,991.869751987265,0,0
ExampleAcq_folder,3,21,809.271657991814,0,0
ExampleAcq_folder,3,13,382.822423814936,0,0
ExampleAcq_folder,4,342,23908.6739859416,0,0.72909153375265
ExampleAcq_folder,4,279,17797.6415269771,0.0468377337973355,0.60161795997603
ExampleAcq_folder,4,284,17439.9537161605,0,0
ExampleAcq_folder,4,295,16815.08781222,0,0.44762600212727
ExampleAcq_folder,4,332,16507.4724178902,0,0.277336546961921
ExampleAcq_folder,4,165,9571.33137870307,0,0.13679310188737
ExampleAcq_folder,4,133,8356.92335976072,0,0
ExampleAcq_folder,4,139,7042.72914307998,0,0.819353525411523
ExampleAcq_folder,4,111,5532.4601172292,0,0
ExampleAcq_folder,4,81,5367.3844685613,0,0
ExampleAcq_folder,4,127,5258.38035269831,0,0.946753401566461
ExampleAcq_folder,4,67,5237.31894721293,0,0.812426123744428
ExampleAcq_folder,4,67,4408.53552662491,0,0
ExampleAcq_folder,4,61,4110.32694945977,0.0697866566515104,0.985459437788424
ExampleAcq_folder,4,63,3860.26160796152,0,0.651440847964457
ExampleAcq_folder,4,71,3592.39998807398,0,0.953624954135699
ExampleAcq_folder,4,64,3078.03632594132,0,0
ExampleAcq_folder,4,49,2868.16713693934,0,0.247553485554051
ExampleAcq_folder,4,67,2774.93548717144,0,1
ExampleAcq_folder,4,56,2725.43019565707,0,0.590803438488883
ExampleAcq_folder,4,42,2300.08090249507,0,0.915839731743054
ExampleAcq_folder,4,39,2249.44893944511,0,1
ExampleAcq_folder,4,32,2208.73781844087,0,0.651804173940117
ExampleAcq_folder,4,45,2161.80262969714,0,0
ExampleAcq_folder,4,43,1933.23084532682,0,0
ExampleAcq_folder,4,33,1907.89868263562,0,0.045805804737709
ExampleAcq_folder,4,24,1616.93670876457,0,0
ExampleAcq_folder,4,33,1439.89620670232,0,0
ExampleAcq_folder,4,26,1337.31424360128,0,1
ExampleAcq_folder,4,25,1294.03760663609,0,0.753878176294309
ExampleAcq_folder,4,32,1214.29120394141,0,0
ExampleAcq_folder,4,27,851.508172294511,0,1
ExampleAcq_folder,4,19,809.558262895227,0,0
ExampleAcq_folder,4,18,647.085060501406,0,1
ExampleAcq_folder,4,17,606.639065100242,0,1
ExampleAcq_folder,4,15,445.410315023656,0,0.192305060622084
ExampleAcq_folder,4,12,416.474890387567,0,0
ExampleAcq_folder,4,6,160.790353587468,0,1
ExampleAcq_folder,4,6,148.194619458166,0,1
ExampleAcq_folder,4,4,121.299337556497,0,0
ExampleAcq_folder,4,3,93.9853467267922,0,0
ExampleAcq_folder,4,4,77.947086263641,0,0
ExampleAcq_folder,4,3,72.3445461036352,0,0
ExampleAcq_folder,4,3,70.4788326624694,0,0
ExampleAcq_folder,4,6,63.0785257566481,0,0
ExampleAcq_folder,4,3,49.7371520934837,0,0
ExampleAcq_folder,4,3,47.7456134324634,0,0
ExampleAcq_folder,4,3,46.4779862711608,0,0
ExampleAcq_folder,4,3,44.6166709677423,0,0
ExampleAcq_folder,4,4,41.0112980529305,0,0
ExampleAcq_folder,4,4,31.9815914685583,0,0
ExampleAcq_folder,4,3,24.3665797941147,0,0
ExampleAcq_folder,4,3,21.9263111410806,0,0
ExampleAcq_folder,4,3,13.4083146132425,0,0
ExampleAcq_folder,4,3,7.26102746070117,0,0
